id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
069f4b79-5536-779e-8000-c22235d128c4,Cheikh Agyei,male,0.79,49,adult,NG,Nigeria,0.19,2026-05-01T14:24:21Z
069f4b79-5735-7749-8000-8e3e6888686d,Ibrahima Olawale,male,0.71,53,adult,NG,Nigeria,0.48,2026-05-01T14:24:21Z
069f4b79-584b-7465-8000-e9aed4a1c2b3,Alexis Camara,male,0.93,20,adult,NG,Nigeria,0.12,2026-05-01T14:24:21Z
069f4b79-593f-7fd0-8000-dd7cd69d669d,Cheikh Zongo,male,0.95,81,senior,NG,Nigeria,0.14,2026-05-01T14:24:21Z
069f4b79-5cc7-7182-8000-100412849092,Femi Boateng,male,0.95,27,adult,NG,Nigeria,0.59,2026-05-01T14:24:21Z
069f4b79-5d7f-73e4-8000-cb03f2880229,ArsÃ¨ne Okonkwo,male,0.78,81,senior,NG,Nigeria,0.63,2026-05-01T14:24:21Z
069f4b79-5278-750c-8000-500fda1e0a61,Bayo OuÃ©draogo,male,0.99,27,adult,NG,Nigeria,0.81,2026-05-01T14:24:21Z
069f4b79-6862-7f76-8000-4b57ad6601f5,Calixte CompaorÃ©,male,0.98,43,adult,NG,Nigeria,0.84,2026-05-01T14:24:22Z
069f4b79-6cb3-74b3-8000-3887cf9062a6,Cheikh KonatÃ©,male,0.97,59,adult,NG,Nigeria,0.64,2026-05-01T14:24:22Z
069f4b79-6bc4-7e3e-8000-45e370ba501d,Ade Olawale,male,0.66,36,adult,NG,Nigeria,0.1,2026-05-01T14:24:22Z
069f4b79-6a0a-7878-8000-4027c176d07e,Kojo Eze,male,0.88,24,adult,NG,Nigeria,0.86,2026-05-01T14:24:22Z
069f4b79-69d6-7478-8000-06bdb04c4486,Joseph Chukwu,male,0.93,18,teenager,NG,Nigeria,0.16,2026-05-01T14:24:22Z
069f4b79-67db-7334-8000-cdd3eb7827e6,Moussa Segla,male,0.8,19,teenager,NG,Nigeria,0.56,2026-05-01T14:24:22Z
069f4b79-66be-7906-8000-335598e0d1bf,ArsÃ¨ne Camara,male,0.88,15,teenager,NG,Nigeria,0.45,2026-05-01T14:24:22Z
069f4b79-6621-7f85-8000-014ae4edbe92,Kwame Tchalla,male,0.76,39,adult,NG,Nigeria,0.43,2026-05-01T14:24:22Z
069f4b79-6604-7e6f-8000-991efb08aea5,Kojo Chukwu,male,0.72,5,child,NG,Nigeria,0.25,2026-05-01T14:24:22Z
069f4b79-65cf-7481-8000-db9103bec95d,Ebo Adeyemi,male,0.91,29,adult,NG,Nigeria,0.58,2026-05-01T14:24:22Z
069f4b79-62c9-7b24-8000-bd2baae2c5a4,David Amoah,male,0.87,40,adult,NG,Nigeria,0.17,2026-05-01T14:24:22Z
069f4b79-6078-7586-8000-eaf91a4bc98a,Oumar Dossou,male,0.83,33,adult,NG,Nigeria,0.66,2026-05-01T14:24:22Z
069f4b79-7c5a-744a-8000-9aca37b63ce4,Paul Tapsoba,male,0.8,18,teenager,NG,Nigeria,0.65,2026-05-01T14:24:23Z
069f4b79-7f7b-711c-8000-1ac210b0ed79,Franck Igwe,male,0.98,58,adult,NG,Nigeria,0.44,2026-05-01T14:24:23Z
069f4b79-7ee1-7f95-8000-05889bc4ad31,Moussa Okafor,male,0.9,8,child,NG,Nigeria,0.36,2026-05-01T14:24:23Z
069f4b79-7ed9-7f97-8000-aadbac429a22,Kwame Bah,male,0.88,35,adult,NG,Nigeria,0.9,2026-05-01T14:24:23Z
069f4b79-7d66-76c1-8000-b2a41b4079fc,Bayo Antwi,male,0.98,74,senior,NG,Nigeria,0.55,2026-05-01T14:24:23Z
069f4b79-7d1a-78b6-8000-4992bfdb1b5c,Emeka Camara,male,0.85,38,adult,NG,Nigeria,0.6,2026-05-01T14:24:23Z
069f4b79-7c6b-7b57-8000-61a1dd864bd3,Bayo Diallo,male,0.83,9,child,NG,Nigeria,0.45,2026-05-01T14:24:23Z
069f4b79-7bb1-76c7-8000-107520127c0c,Abdou NikiÃ©ma,male,0.69,21,adult,NG,Nigeria,0.28,2026-05-01T14:24:23Z
069f4b79-7ba9-72ce-8000-121d1cf232a5,Samuel SidibÃ©,male,0.86,68,senior,NG,Nigeria,0.39,2026-05-01T14:24:23Z
069f4b79-79e1-785e-8000-9293be899a42,Kwame Amoah,male,0.76,26,adult,NG,Nigeria,0.21,2026-05-01T14:24:23Z
069f4b79-79b5-77c4-8000-17f248112e93,Lamine Dao,male,0.92,51,adult,NG,Nigeria,0.7,2026-05-01T14:24:23Z
069f4b79-79a4-770c-8000-c7f24a88e3e3,Franck Okafor,male,0.77,73,senior,NG,Nigeria,0.49,2026-05-01T14:24:23Z
069f4b79-7665-72db-8000-48c00fd8f812,Lamine Kponton,male,0.83,52,adult,NG,Nigeria,0.45,2026-05-01T14:24:23Z
069f4b79-765c-799e-8000-201552dcc830,Tunde Barro,male,0.79,84,senior,NG,Nigeria,0.47,2026-05-01T14:24:23Z
069f4b79-7588-79cf-8000-2209614c7adc,Richard Barro,male,0.77,58,adult,NG,Nigeria,0.91,2026-05-01T14:24:23Z
069f4b79-748a-7145-8000-2d081d1e37d7,Ama Agyei,male,0.82,5,child,NG,Nigeria,0.91,2026-05-01T14:24:23Z
069f4b79-717a-7a5b-8000-b7c2645d67d9,Ebo Gbessi,male,0.66,52,adult,NG,Nigeria,0.86,2026-05-01T14:24:23Z
069f4b79-7b1a-71a2-8000-c246a9774e2d,Cheikh Owusu,male,0.91,9,child,NG,Nigeria,0.21,2026-05-01T14:24:23Z
069f4b79-8cc6-7b0c-8000-af17bcd80f45,Ade Okafor,male,0.69,44,adult,NG,Nigeria,0.76,2026-05-01T14:24:24Z
069f4b79-8ef9-73ca-8000-15975f7815e6,Fiifi Okafor,male,0.85,28,adult,NG,Nigeria,0.31,2026-05-01T14:24:24Z
069f4b79-8eb6-7d01-8000-5b0022067b63,Fiifi Adeyemi,male,0.91,32,adult,NG,Nigeria,0.25,2026-05-01T14:24:24Z
069f4b79-8e4e-7ed5-8000-ee46e241ec08,Ebo KeÃ¯ta,male,0.98,50,adult,NG,Nigeria,0.36,2026-05-01T14:24:24Z
069f4b79-8dd7-7e3a-8000-ee87fb93ccc8,Fiifi Tchalla,male,0.97,27,adult,NG,Nigeria,0.81,2026-05-01T14:24:24Z
069f4b79-8ab2-7d92-8000-e5b25862e4cc,Joseph Asante,male,0.75,48,adult,NG,Nigeria,0.79,2026-05-01T14:24:24Z
069f4b79-88df-7437-8000-bd2b1e82e9cd,Tunde Sawadogo,male,0.95,16,teenager,NG,Nigeria,0.37,2026-05-01T14:24:24Z
069f4b79-874b-7e75-8000-56c923b456bd,Kunle Hounsou,male,0.96,29,adult,NG,Nigeria,0.22,2026-05-01T14:24:24Z
069f4b79-854e-7b7d-8000-a684032feba4,Didier Barro,male,0.96,79,senior,NG,Nigeria,0.91,2026-05-01T14:24:24Z
069f4b79-852c-7200-8000-b59f88237a51,Tunde Sow,male,0.86,40,adult,NG,Nigeria,0.52,2026-05-01T14:24:24Z
069f4b79-8452-771b-8000-fd2143822d1b,Mamadou Barro,male,0.7,21,adult,NG,Nigeria,0.73,2026-05-01T14:24:24Z
